indentation	style_name	style_description
;;;;	Andalusian Folk Music 	Flamenco of Andalusia in southern Spain, rooted in traditional music and dances and developed mostly after the 18th century by the Romani people of Andalusia (known locally as gitanos).
;;;;;	Saeta 	Traditional religious praise song that originated in Andalusia, Spain towards the end of the late Middle Ages.
;;;;;	Sevillanas 	Named after the city of Seville in Spain, typically rhythmic with a 3/4 beat and guitar accompaniment.
;;;;	Aragonese Folk Music 	Traditional Folk Music of the Aragonese people.
;;;;	Asturian Folk Music 	Traditional music of the Asturian people.
;;;;	Canarian Folk Music 	Traditional folk of the Canary Islands.
;;;;	Chotis madrileño 	Spanish variant of schottisch, a slow version of German Polka which developed through the incorporation of regional folk influences and an association with the local castizo culture in Madrid, the capital of Spain.
;;;;	Copla 	Evolved from Spanish theatrical styles like Cuplé and has strong links to Flamenco.
;;;;	Cuplé 	Originally developed in the 19th century as a blend of old theatre Spanish styles based in short monologues (jácara and tonadilla) and French Couplet.
;;;;	Galician Folk Music 	Traditional music of the Galician people.
;;;;	Pasodoble 	Mainly instrumental Spanish style primarily associated with bullfighting and popular celebrations, believed to originate from a double-time military march from France in the 18th century.
;;;;	Valencian Folk Music 	Traditional music of the Valencian Country.
;;;	Volga-Ural Folk Music 	Traditional Folk Music of the Volga-Ural region in the European Russia.
;;;;	Bashkir Folk Music 	Traditional folk of the Bashkir people, a Turkic ethnic group inhabiting the Republic of Bashkortostan (Bashkiria), a federal subject of the Russian Federation, and its neighboring areas on both sides of the Ural mountains.
;;;;	Chuvash Folk Music 	Traditional Folk Music of the Chuvash people.
;;;;	Komi Folk Music 	Traditional Folk Music of the Komi people.
;;;;	Mari Folk Music 	Traditional Folk Music of the Mari people.
;;;;	Mordvin Folk Music 	Traditional Folk Music of the Mordvin people.
;;;;	Udmurt Folk Music 	Traditional Folk Music of the Udmurt people inhabiting areas in the Volga-Ural region of Russia.
;;;;	Volga Tatar Folk Music 	Traditional Folk Music of the Volga Tatar people native to republics of Tatarstan and Bashkortostan.
;;;	Walloon Folk Music 	Traditional Folk Music of Wallonia, the mostly French-speaking southern region of Belgium which also includes a few Flemish and German minorities.
;;;	White Voice 	Traditional form of vocal music of Eastern European peoples.
;;;	Yiddish Folksong 	Traditional folk developed in Ashkenazi Jewish communities, particularly those of Yiddish-speaking Eastern and Central Europe.
;;	Football Chant 	Sung by large crowds at association football (soccer) games to celebrate or insult teams.
;;	Hazara Folk Music 	Folk music of the Hazara people, mainly native to central Afghanistan.
;;	Hispanic American Folk Music 	Encompasses many varieties of folk traditions from Hispanic America.
;;;	Bambuco 	Follows a 6/8 or 3/4 time signature with non-percussive instrumentation, often melancholic in sound with bright guitars and a rich melodic base.
;;;	Bomba 	Percussive style from Puerto Rico, generally considered to be derived from West Africa.
;;;	Candombe 	Uruguayan popular music originating among Montevideo's Afro-Uruguayan population, based on three differently-sized drums.
;;;	Canto a lo poeta 	Sung poetry traditional to Chile and transmitted orally from one generation to another.
;;;	Carranga 	Colombian folk music that originated in Boyacá province, best known for its wordplay and humorous lyrics.
;;;	Chacarera 	Originated in northwest Argentina and southern Bolivia around 1850, typically in 6/8 and traditionally performed with instruments like the guitar, bombo legüero (traditional drum), and violin.
;;;	Chamamé 	Mixes native Guaraní music with Polka paraguaya and European schottische music.
;;;	Chamarrita rioplatense 	Traditional genre and dance featuring similar rhythms to Milonga and typically performed with the guitar and accordion.
;;;	Cueca 	Popular in Chile, Argentina, and Bolivia, accompanied by a 6/8 or 3/4 time signature and usually structured into 14 verses.
;;;	Jibaro 	Traditions of the mountain-dwelling jibaro people that live primarily in Puerto Rico.
;;;	Joropo 	Incorporates elements of Creole music and the Venezuelan waltz.
;;;	Malagueña venezolana 	Traditional musical accompaniment to the Venezuelan 'velorios de cruz de mayo' celebrations, played with the mandolin (as lead instrument), cuatro and guitar.
;;;	Mexican Folk Music 	Traditional Folk Music of the Mexican people.
;;;;	Canto cardenche 	Overtly dramatic, and melancholic A cappella performed in the Comarca Lagunera region in northeast Mexico.
;;;;	Pirekua 	Traditional style of the P’urhépecha people, typically slow and in 3/8 or 6/8 time.
;;;;	Son calentano 	Usually dominated by violin with accompaniment mainly provided by guitars and tamboras, occasionally dancers will stomp over a platform.
;;;;	Son huasteco 	Bold rhythmic structure, lively violin playing, and extensive use of falsetto.
;;;;	Son istmeño 	Developed in the Isthmus of Tehuantepec, traditionally played by guitar, requinto, marimba, and bajoquinto, usually played in 3/4 time.
;;;;	Son jarocho 	Mexican Folk Music from the Gulf Coast Mexican state of Veracruz, with both Spanish and indigenous influences.
;;;;	Trova yucateca 	Heavily influenced by Cuban Music, freely embracing Bolero, clave and Bambuco.
;;;	Milonga 	Characterized by a slow rhythm usually performed on a guitar; generally considered a precursor to Tango.
;;;	Muliza 	Mestizo folk genre popular in the central Peruvian Andes, characterized by a pronounced, though sedate, rhythm; traces of Andean melody; and octosyllabic verses.
;;;	Música criolla peruana 	Combination of African, Spanish, and Andean influences that originated after the time of the arrival of Spanish colonists and African slaves to Peru.
;;;;	Festejo 	Happy and danceable Afro-Peruvian rhythm originating in the 17th century.
;;;;	Marinera 	Component of the coastal dance of the same name, often considered the national dance of Peru.
;;;;	Tondero 	Backing to the fast-paced dance that originated in northern Peru in the region of Piura of the same name; bands consist of a singer, a small chorus, two guitarists, along with the cajón and sometimes a spoon player.
;;;;	Vals criollo 	Originally characterized by its 3/4 time, heavy reliance on strongly plucked phrase on upper strings, and its guitar solo; often accompanied by a duet or a solo singer, normally singing about patriotic themes or social dilemmas.
;;;	Música llanera 	Traditional music originating from the Llanos region of Colombia and Venezuela.
;;;	Plena 	Folk genre from Puerto Rico played with hand drums called panderetas.
;;;	Saya 	Fast-paced, percussive traditional genre created by the Afro-Bolivian people.
;;;	Tamborito 	Folk music and dance from Panama dating back to the 17th century.
;;;	Taquirari 	Developed by the indigenous peoples of eastern Bolivia, bringing in some elements of Hispanic Music, and featuring a syncopated rhythm.
;;;	Tonada chilena 	Traditional folk from the Chilean countryside distinguished by its prominent melody.
;;;	Yaraví 	Peruvian criollo-mestizo songs with recurring themes of sadness and unrequited love, usually in 6/8 meter.
;;;	Zamacueca 	Traditional genre and dance of 19th century Peru, sung in the minor mode and accompanied by a varying combination of guitar, vihuela, harp and cajón.
;;;	Zamba 	Folk dance that evolved out of Peruvian Zamacueca during the 19th century.
;;	Indigenous American Traditional Music 	Meta-genre encompassing traditions attributed to the indigenous peoples of the Americas.
;;;	Athabaskan Fiddling 	Fiddle playing of the Northern Athabaskan Dene people of modern-day Alaska, the Yukon, and the Northwest Territories.
;;;	Inuit Vocal Games 	Practiced by the Inuit of Canada, two vocalists face each other decimeters away and try to outlast each other with intense and unusual vocal techniques.
;;;	James Bay Fiddling 	Fiddle playing of the James Bay Cree people, characterised by a fusion of Scottish style with Cree rhythms.
;;;	Mapuche Folk Music 	Traditional Folk Music of the Mapuche people of Chile and Argentina.
;;;	Powwow Music 	Drum-based traditional music of Plains region Native American tribes, traditionally played at Pow-wows.
;;;	Tonada potosina 	Traditional folk sung in Quechua, played on charangos and guitarillas, with a catchy, lively rhythm.
;;;	Unakesa 	Lay song and dance of the Fulni-ô people.
;;	Indigenous Australian Traditional Music 	Traditional Folk Music of Aboriginal Australians and Torres Strait Islanders, collectively known as Indigenous Australians.
;;;	Djanba 	Sung and composed in the Murrinh-Patha language and consisting of a mixed group of men and women accompanied by bilma and handclaps, typically without didgeridoo.
;;;	Wangga 	Originated from the Daly region, consists of performances featuring wood sticks, didgeridoo and voice.
;;	Ladino Folksong 	Ladino-language Traditional Folk Music tunes that were written and preserved by Sephardic Jews.
;;	Ob-Ugric Folk Music 	Traditional Folk Music of the Ob-Ugric people of West Siberia Plain.
;;	Payada 	Improvised poetry accompanied by a guitar that is tied to gaucho culture, usually performed in duo as a verse duel.
;;	Romani Folk Music 	Folk of the Romani people, an ethnic group with origins in Northern India, but who have since the Middle Ages settled around Europe, principally Romania, Bulgaria, and Spain, and many other places.
;;	Samoyedic Folk Music 	Traditional Folk Music of the Samoyedic peoples.
;;	South Asian Folk Music 	Meta-genre which covers all the Traditional Folk Music forms from South Asia.
;;;	Assamese Folk Music 	Traditional Folk Music of the Assamese people, a people group mostly from the Northeastern Indian state of Assam.
;;;	Bengali Folk Music 	Traditions of the Bengali people found mainly in the Indian state of West Bengal and the country of Bangladesh.
;;;;	Baul gaan 	Songs performed by the Bauls, a movement of mystic entertainers influenced by diverse spiritual traditions.
;;;	Bhojpuri Folk Music 	Traditions of the Bhojpuri people of India, originally from the states of Bihar and Uttar Pradesh.
;;;;	Biraha 	Call-and-response style of folk music developed from the Ahir and neighboring castes of the Bhojpuri people.
;;;	Boduberu 	Traditional, percussion-based form of music popular in the Maldives, usually following a crescendo structure.
;;;	Burushaski Folk Music 	Traditional Folk Music of the Burusho people of northern Pakistan.
;;;	Gujarati Folk Music 	Traditional Folk Music of the Gujarati people, who primarily live in the western Indian state of Gujarat.
;;;	Kannada Folk Music 	Traditional Folk Music of the Kannada people, a large ethnolinguistic group who mainly inhabit the state of Karnataka in southwestern India.
;;;	Kirtan 	Call-and-response chanting that involves the singing of devotional mantras and hymns in a bhakti devotional style, occasionally accompanied with traditional folk instrumentation.
;;;;	Shabad kirtan 	Religious Sikh Hymns backed by specially selected ragas and taal.
;;;	Malayali Folk Music 	Traditional Folk Music of Kerala, India primarily sung in the Malayalam language and known for its drumming and percussion.
;;;	Marathi Folk Music 	Traditional Folk Music of the Marathi people, a large ethnic group who mainly inhabit the state of Maharashtra in western India.
;;;	Newa Folk Music 	Traditions of the Newa people, who live in Nepal, performed with mostly percussive instruments and some wind instruments.
;;;	Odia Folk Music 	Traditional Folk Music of the Odia, a large ethnic group who mainly inhabit the state of Odisha in eastern India.
;;;	Pashto Folk Music 	Traditional Folk Music of the Pashtun people of southern Afghanistan and north-western Pakistan.
;;;	Punjabi Folk Music 	Traditional Folk Music of the Punjabi people, mostly from the Punjab regions of India and Pakistan, covering diverse styles often played with traditional instruments.
;;;	Rajasthani Folk Music 	Traditions of the Rajasthani people of Western India - who now mostly live in the eponymous Rajasthan state - originated across the various castes that inhabit the region.
;;;	Sinhalese Folk Music 	Folk of the Sinhalese people, the majority ethnic group of Sri Lanka.
;;;;	Sarala gee 	Blend of Hindustani Classical Music with Sinhalese Folk Music.
;;;	Tamil Folk Music 	Traditional Folk Music of the Tamil people.
;;;;	Urumi melam 	Percussive ensemble native to the Tamil Nadu region, taking its name from the urumi drum.
;;;	Telugu Folk Music 	Traditional Folk Music of the Telugu people, one of the largest ethnolinguistic groups of India, mainly living in the states of Andhra Pradesh and Telangana.
;;	Southeast Asian Folk Music 	Meta-genre covering all folk forms from Southeast Asia, like Gondang, Hmong, Iban, Karen, Keroncong, Khmer, Lao, Lun Bawang, Molam, and Orang Ulu.
;;;	Balitaw 	Folk originating in the Visayas islands of the Philippines; dialogue or debate in which a man and a woman compete at improvising romantic verses.
;;;	Bamar Folk Music 	Traditional Folk Music of the majority ethnic group of Myanmar.
;;;	Gondang 	Traditional ensemble in Bataknese traditional music of North Sumatra, taking its name from its leading instrument - a unique set of toned drums.
;;;	Harana 	Hispanic-influenced lyrical courtship music traditionally sung by men, accompanied by guitar based on the danza rhythm.
;;;	Hmong Folk Music 	Folk traditions of the Hmong people, an ethnic group localized in Laos, Vietnam, China, and Thailand.
;;;	Khmer Folk Music 	Folk of the Khmer people, who mainly reside in Cambodia.
;;;	Kuda kepang 	Accompanies a traditional Javanese dance of the same name, featuring a stripped-back version of a Gamelan ensemble that removes softer instruments.
;;;	Lao Folk Music 	Traditional Folk Music of the Lao people.
;;;	Malay Folk Music 	Traditional Folk Music of the Malay people, who are native to Malaysia, Singapore, Brunei, northern Indonesia, and southern Thailand.
;;;	Philippine Rondalla 	Ensemble of plucked string instruments typically performed for traditional Filipino folk dances; known for its distinct sparkling and tinkling tremolo sound.
;;;	Tarawangsa 	Sacred ceremonial music originating in the Rancakalong district, played with the jentreng harp and the tarawangsa bowed lute.
;;;	Thai Folk Music 	Traditional Folk Music of the Thai people.
;;;;	Fon leb 	Traditional performance music originating in northern Thailand consist of an ensemble with Piphat instruments and a pair of female choreographers.
;;;	Vietnamese Folk Music 	Traditional Folk Music of the Vietnamese people, with traditions influenced by both Chinese Music and Austronesian culture through the Cham people.
;;;;	Chèo 	Northern Vietnamese folk musical theatre, characterized by minimal set design and satirical content.
;;;;	Quan họ 	Tradition of the Northern Vietnamese provinces of Bắc Ninh and Bắc Giang, originally consisting of harmonic, a cappella singing from two competing duos.
;;;;	Xẩm 	Developed in Northern Vietnam, traditionally sung by blind bards accompanied by a đàn bầu or đàn nhị.
;;	West Asian Folk Music 	Traditional Folk Music of West Asia, a region that covers much of what is commonly known in English as the Middle East (alternatively Southwestern Asia), includes the distinct but interconnected traditions of numerous ethnic groups.
;;;	Alevi Folk Music 	Anatolian folk pioneered by Turkish poets and bards, connected to the Alevist heterodox Islamic tradition.
;;;	Armenian Folk Music 	Traditional Folk Music of the Armenians, which is attested in historic Armenia since antiquity, with unique regional dialects unified by general melodic structure.
;;;;	Kef Music 	Dance-oriented Armenian American music with prominent presence of Anatolian instruments and folkloric melodies (often in the 10/8 meter) paired with novel lyrics relating to a variety of topics.
;;;	Assyrian Folk Music 	Folk of the Assyrian or Syriac people, who are indigenous to the Upper Mesopotamian region roughly corresponding to ancient Assyria (which includes modern-day northern Iraq, northwestern Iran, northeastern Syria, and southeastern Turkey).
;;;	Ayyalah 	Traditional Khaliji-Bedouin weapon performance, commonly found across the United Arab Emirates and Northwestern Oman.
;;;	Fijiri 	Deeply rooted in the Persian Gulf pearl diving culture, and sung during weekly gatherings combining solo and choral sections with minimal percussion.
;;;	Israeli Folk Music 	Folk of the Jewish settlers of Eretz Yisra'el.
;;;	Luri Folk Music 	Traditional Folk Music of the Luri people of southwestern Iran.
;;;	Meyxana 	Azerbaijani folk recitative genre.
;;;	Persian Folk Music 	Traditional Folk Music of the Persian people.
;;;	Turkish Folk Music 	Traditional Folk Music of Turkish people combines the distinct cultural heritages and traditions of Anatolian civilisations and former Ottoman territories.
;;;;	Turkish Black Sea Region Folk Music 	Folk of the Turkish people who inhabit the northern region by the Black Sea.
;;;;	Uzun Hava 	Semi-improvisational melodic structure in Turkish Folk Music.
;;;;	Zeybek 	Turkish Folk Music music and dance that originated with the Zeybek people during the Ottoman Empire period, with slow and asymmetrical rhythms.
;;	Work Song 	Sung by laborers and prisoners while working in factories and fields.
;;;	Aboio 	Cattle-herding songs originating in rural Northeastern Brazil.
;;;;	Aboio cantado 	Aboio that features rhyming verses.
;;;	Field Hollers 	Created by African-American slaves working on cotton plantations, featuring expressive vocals to no strict rhythm.
;;;	Òrain luaidh 	Rhythmic call-and-response style song form that traditionally accompanied the production of tweed cloth through beating the material by hand to soften it after it came off the loom.
;;;	Sea Shanty 	Songs originally sung by sailors to coordinate work on ships.
;;;	Shan'ge 	Folk songs found in upland regions of China, typically sung while working.
;;	Yodeling 	Vocal technique that arose in many cultures around the world as a form of calling and communication.
;;;	Country Yodeling 	Vocal technique of Yodeling, brought to the United States by German settlers, sung over the instrumentation of Traditional Country.
;;;	Naturjodel 	Originated in Toggenburg and Appenzell in Switzerland; deep vocal range, relaxed voice, free tempo, polyphony, elongated notes, improvisation, glissando, and use of syllabic sounds.
	Hip Hop 	Emerged primarily on the United States east coast in African American communities in the late 1970s; emphasizes rhythmic beat patterns and a type of spoken vocal delivery known as rapping.
;	Abstract Hip Hop 	Uses much more abstract lyricism than what is considered conventional within the genre, typically through use of metaphors, symbolism, and cryptic meanings.
;	Afroswing 	Emerged in the United Kingdom during the mid-2010s, incorporating influences from Dancehall, Afrobeats, Contemporary R&B, and a variety of West African Music.
;	Afro Trap 	Centered mostly in France, features production influenced by modern styles developed in West and Central Africa with Trap-styled vocal flows.
;	Arabesque Rap 	Emerged from Turkey in the late 2000s, based almost exclusively around Arabesk samples and featuring aggressive rap vocals.
;	Bongo Flava 	Tanzanian genre originating in the mid-1990s in the Dar es Salaam area, combining the influence of Rhythm & Blues, Afrobeat, and Dancehall with native Tanzanian styles like Taarab and Muziki wa dansi.
;	Boom Bap 	Production style identified by an acoustic-sounding drum pattern of a kick drum on the downbeat followed by a cracking snare on the upbeat.
;	Bounce 	Developed in New Orleans in the early 1990s, initially defined by a slow to midtempo beat with a double-time hi-hat on top.
;	Chipmunk Soul 	Sped-up vocal samples and slick, soulful production.
;	Chopped and Screwed 	Remixing technique that consists of skipping effects ("chopping") and dropping the tempo ("screwing").
;	Christian Hip Hop 	Employs lyrics with a pro-Christianity message to profess the performer's faith, often to attract attention from new potential converts.
;	Cloud Rap 	Emerged in the early 2010s, known for its relaxed, dream-like, and reverb-heavy production style, taking influence from Chillwave, and producers' obscure sample choices.
;	Comedy Rap 	Primarily intended to be humorous, through the use of comedic lyrics, production, delivery, or other musical aspects.
;;	Chap Hop 	Satirises British cultural stereotypes with posh rapping and a distinctive retro aesthetic drawn from the "chap" and steampunk subcultures, often with elements of Music Hall.
;	Conscious Hip Hop 	Artists whose lyrics deal with social issues.
;	Country Rap 	Combines the flow, production-emphasis, and demeanor of Hip Hop with the lyrical content and general approach of Country.
;	Crunk 	Originating from the southern United States and reliant on drum machines and synthesizer stabs to create an energetic, often dance-oriented sound.
;;	Crunkcore 	Combines rapping, screaming and autotune with synthesizers and Hip Hop beats often influenced by Crunk.
;	Digicore 	Developed in the late 2010s and characterized by frantic, bombastic, and glamourous production, usually derived from Trap, that serves to accompany highly melodious, auto-tuned, and hi-pitched vocal performances, often done with breathy voice singing and sing-rapping.
;	Dirty South 	Originated in the Southern US during the mid-1990s, defined by a bouncy rhythm, fast-tempo snares, 808s, heavy bass, and often rapped in a rhythmic delivery consisting of explicit lyrics.
;	Disco Rap 	Most prevalent from 1979 to 1982, featuring MCs rapping over popular Disco breaks.
;	Drumless 	Stripped-down production style pioneered in the early 2010s and identified by a lack of drums or minimal, subtle percussion left untouched from the original sample or filtered out.
;	Emo Rap 	Moody, melancholic production combining atmospheric Cloud Rap, and Trap's typical drum programming, with sampling from Alternative Rock, Midwest Emo, Emo-Pop, and Pop Punk.
;	Experimental Hip Hop 	Incorporates experimental and eccentric elements considered unconventional or unorthodox compared to more traditional hip hop.
;;	Industrial Hip Hop 	Incorporates harsh elements inspired by Industrial music such as blaring, noisy synths, distorted and metallic percussion, as well as more aggressive and off-kilter rapping styles.
;	Genge 	Combines elements of Dancehall with various traditions of Kenya.
;;	Gengetone 	Takes strong influence from Reggaetón and modern Dancehall, featuring more explicit lyrics and harder beats.
;	G-Funk 	Relaxed and organic sound featuring live instrumentation, use of P-Funk samples, and high-pitched synth lines.
;	Hardcore Hip Hop 	Confrontation and aggression, whether in the lyricism, vocal delivery, hard beats, heavy production, or any combination thereof.
;;	Britcore 	British subgenre from the late 1980s and early 1990s featuring fast breakbeats and rapping.
;;	Gangsta Rap 	Lyrics from a gangster's perspective.
;;;	Scam Rap 	Lyrics that focus on various forms of fraudulent activities.
;;	Horrorcore 	Lyrical and aesthetic focus on the macabre and morbid, with production generally of a darker nature than is typically found in other Hip Hop.
;;	Memphis Rap 	Minimalistic half-time drum machine programming with droning bass, often paired with aggressive rapping and a double time flow.
;;;	Dungeon Rap 	Combines the dark production of Memphis Rap with the fantasy aesthetics and sound design of Dungeon Synth.
;;;	Phonk 	Modernized, eclectic take on classic Memphis Rap production, featuring various influences from other Hip Hop genres, especially drum programming inspired by other Southern Hip Hop as well as frequent jazzy, funky elements somewhat akin to West Coast Hip Hop and from Electronic music.
;;	Mid-School Hip Hop 	Based around heavy, stripped-down drum machine beats.
;;	Trap Metal 	Loud, distorted 808s and basslines, as well as aggressive vocals that are usually yelled or screamed.
;	Hipco 	Developed in Liberia, often featuring conscious and political lyrics and influences from local dance styles.
;	Hiplife 	Fusion of Ghanaian Highlife with Hip Hop.
;	Hyphy 	Party-focused style with upbeat tempos, heavy bass and prominent synths, all underpinned by a distinctive West Coast-style rhythm, claps on beats 2 and 4, and a strong kick drum on beats 1, 2, and either 3 or 4.
;;	Jerk Rap 	Sparse beats, simple melodies, and party-centric lyrics geared towards a style of dance called “jerkin’.”
;	Instrumental Hip Hop 	Can take the form of instrumental versions of songs that normally feature rapping, or hip hop originally released and always intended to be instrumental.
;;	Rare Phonk 	Primarily features eclectic sampling and lush, jazzy beats, usually set to Trap rhythms with prominent influences of Memphis Rap.
;	Jazz Rap 	Incorporates elements of Jazz through the use of samples or live instrumentation.
;	Jerk 	Sparse, snare-heavy drum patterns loosely inspired by Jerk Rap, which take major elements from other prominent 2010s and 2020s underground hip hop genres like Plugg.
;	Jersey Club Rap 	Incorporates Jersey Club's distinct kick-heavy rhythms, which are modified to better suit rapping, featuring less sampling and more atmospheric production than earlier Jersey club.
;;	Jersey Drill 	Mixes Drill and Jersey Club production, characterized by an energetic sound and distinct syncopated rhythms.
;	Jigg 	Club-oriented genre characterized by heavy 808-driven beats, imposing synthesized brasses and an uptempo rhythm.
;	Jook 	Fast-paced; draws influence from Bounce, Miami Bass, Jersey Club and Dancehall.
;	Latin Rap 	Primarily done in Spanish; incorporates Hispanic American Music elements into its sound.
;;	Chicano Rap 	Latin Rap with a Mexican twist.
;	Lo-Fi Hip Hop 	Relaxed, laid-back form of Hip Hop, typically instrumental and influenced by Jazz Rap and Downtempo.
;	Lowend 	Rhythms driven by steady eighth-note digital handclaps, rattling bass, fast tempos, upbeat sound, and laid-back flows.
;	Miami Bass 	Sustained Roland TR-808 kick drums and faster tempos, along with a distinct Electro influence.
;;	Atlanta Bass 	Originated in Atlanta, slower tempos and a more melodic approach than Miami Bass.
;;	Tamborzão 	Adds Afro-Brazilian percussive elements such as the atabaque sound into the Miami Bass kick drums.
;;	Techno Bass 	Minimal, stripped-down with an emphasis on low-frequency bass partitions.
;;;	Car Audio Bass 	Slow and minimalistic extreme form, focused on ultra-low frequency sine wave notes and mainly intended for stress testing subwoofer sound systems.
;	Mobb Music 	San Francisco Bay Area production style building on slowed down Funk (often utilizing live elements).
;	Nerdcore Hip Hop 	Themes touch on such nerd mainstays as science, computers, and science fiction.
;	Nervous Music 	Dark, sinister and menacing sound, heavy sub-basses, simple melodies and slow, sparse and slamming drums.
;	Philly Club Rap 	Mixes the fast and energetic production of Philly Club with similarly frantic and fast rapping.
;	Political Hip Hop 	Features explicitly political lyrics and themes.
;	Pop Rap 	Fuses Hip Hop's rapping and production traits with Pop elements such as melodious vocals and light, catchy tunes.
;;	Bop 	Grew out of the Chicago Drill scene in the early 2010s, characterized by autotuned vocals and upbeat synth melodies.
;;	Futuristic Swag 	Playful, Snap-influenced and party-oriented.
;	Ratchet Music 	Club-oriented style defined by a repeated synth melody and a sparse drum pattern often accompanied by a "hey" chant.
;	Snap 	Prominent 808 bass and finger snaps, with lyrics primarily focused on nightclub topics (such as sex, drugs, and alcohol).
;	Trap 	Originated in Atlanta in the early 2000s; distinctive fast hi-hat sound and heavy bass at moderate tempos.
;;	Detroit Trap 	Emerging in Michigan during the 2010s and incorporating upbeat 808 percussion derived from Trap music and dynamic, off-beat flows from rappers.
;;	Drill 	Originated in Chicago in the early 2010s, broadly characterized by complex, energetic rhythms, coupled with street-conscious and often violent rapping.
;;;	Chicago Drill 	Bass-heavy, dense, and typically syncopated percussion, featuring ticking hi-hats and gunshot-like snare rolls, usually accompanied by menacing synth melodies and violent Gangsta Rap lyricism.
;;;;	Bop 	Grew out of the Chicago Drill scene in the early 2010s, characterized by autotuned vocals and upbeat synth melodies.
;;;	Free Car Music 	Chaotic and metallic percussion with clanging rides, rapid hi hat rolls, and tense kick buildups typically coupled with staggered, punched-in rapping.
;;;	Jersey Drill 	Mixes Drill and Jersey Club production, characterized by an energetic sound and distinct syncopated rhythms.
;;;	New York Drill 	Emerged in the late 2010s, characterized by energetic, bouncy tresillo rhythms, creating a warmer, more booming tone than UK Drill, which prominently inspired it.
;;;;	Sample Drill 	Prominent, recognizable samples set to tresillo-styled Drill hi-hats and counter snares.
;;;;	Sexy Drill 	Emotive and sensual melodies, samples, and basslines set to driving stomps and bouncy Drill percussion typically joined by lyrical themes of sex, love, clubbing, and heartbreak.
;;;	UK Drill 	Deep bass and complex rhythm which denotes a Grime influence in the production.
;;	Futuristic Swag 	Playful, Snap-influenced and party-oriented.
;;	New Jazz 	Colorful, repetitive synths and synthetic instruments, playful vocal chops, and wonky bass selections set to bouncy Trap drums.
;;	No Melody 	Usage of minimalistic, repetitive midtempo drum patterns, and simple, prominent 808s.
;;	Plugg 	Use of sparse and compact drum and hi-hat patterns, subby 808s and heavy low end; commonly features piano samples, airy pads, and icy synths.
;;;	Dark Plugg 	Ominous, sinister synth pads and lead melodies, skittering hi-hats, and fast percussion and snare rolls.
;;;	PluggnB 	Emphasizes more melodic and layered synth leads, denser and faster drum programming, and a lesser reliance on the laid-back, minimalistic atmosphere of earlier Plugg styles.
;;;;	Asian Rock 	Dense PluggnB percussion in combination with airy bells, synth plucks, and soaring synthetic guitar leads.
;;	Rage 	Dense, buzzing synth work with repetitive chord progressions and melodic synth leads.
;;	Rare Phonk 	Primarily features eclectic sampling and lush, jazzy beats, usually set to Trap rhythms with prominent influences of Memphis Rap.
;;	Regalia 	Lush, sweeping string arrangements, dreamy piano passages, and other orchestral instrumentation set to cinematic Trap percussion.
;;	Sigilkore 	Dark and hyperactive production, featuring rapping laced with layers of effects.
;;	Trap latino 	Distinguished by its Reggaetón and Latin Rap roots, with smooth and moody production inspired by Alternative R&B and Contemporary R&B.
;;	Trap Metal 	Loud, distorted 808s and basslines, as well as aggressive vocals that are usually yelled or screamed.
;;	Trap Soul 	Mixes passionate vocals derived from Contemporary R&B with laid-back, nocturnal and atmospheric Trap production.
;;	Tread 	Icy or futuristic synths with busy and high-tempo drum programming using distinctive 808 patterns.
;	Trap shaabi 	Combining Trap percussion and rhythms with Egyptian Shaabi and especially Mahraganat.
;	Turntablism 	Manipulating and re-appropriating vinyl records using a turntable and DJ mixer in a Hip Hop context, often featuring constant scratching and beat juggling between two or more recordings into original, distinctive tracks.
	Industrial and Noise 	Umbrella encompassing Noise and Industrial, as well as later derivatives that combine the latter aesthetics with other styles and in more accessible directions which fall under Post-Industrial.
;	Industrial 	Emerged out of Punk and avant-garde art movements in the mid-1970s, often characterized by a bleak, mechanical atmosphere, the use of metallic percussion as well as other unconventional instruments, and extensive use of sampling influenced by Musique concrète.
;;	Power Electronics 	Waves of feedback, screeching analog synthesizers, and harsh, screamed vocals.
;;;	Death Industrial 	Combines the abrasive textures of Noise and Industrial music with dark, brooding drones and atmospheres.
;	Noise 	Strays away from conventional structure, tonality, and composition and consists predominantly of noise.
;;	Ambient Noise Wall 	Combines the static approach of Harsh Noise Wall with textures leaning towards Ambient music.
;;	Black Noise 	Incorporates unconventional sounds with overpowering or constant Noise and Black Metal elements, often being heavily texture-oriented, abrasive, dissonant, atonal, or repetitive.
;;	Gorenoise 	Combines and subverts Goregrind and Grindcore with brash Noise and even faster drum tempos.
;;	Harsh Noise 	Highly aggressive walls of sound that assault the listener.
;;;	Harsh Noise Wall 	Harsh, distorted walls of sound that feature few dynamic variations and often take the form of long compositions with little to no change or progression over time.
;;	Power Electronics 	Waves of feedback, screeching analog synthesizers, and harsh, screamed vocals.
;;;	Death Industrial 	Combines the abrasive textures of Noise and Industrial music with dark, brooding drones and atmospheres.
;;	Power Noise 	Combines looped samples of Noise with Electronic rhythms.
;	Post-Industrial 	Umbrella group of genres that combine the dark, mechanical aesthetic of early Industrial music with more accessible genres, such as Rock and Electronic Dance Music.
;;	Dark Ambient 	Emphasizes an ominous, gloomy, and dissonant atmosphere.
;;;	Black Ambient 	Incorporates elements such as guitars, synthesizers, harsh or whispered vocals, raw production, or other elements associated with Black Metal and Dungeon Synth.
